_id,trip_id,outbound_date,return_date,outbound_departure_time,outbound_arrival_time,outbound_flight_duration,outbound_route,outbound_airline,return_departure_time,return_arrival_time,return_flight_duration,return_route,return_airline,price,tier,outbound_airport,IATA
66625a1a41e0a51a5b39e3cf,0,2024-06-07,2024-06-10,10:19 am,1:14 pm,1h 55m,MCI-ATL,Delta,2:28 pm,3:30 pm,2h 02m,ATL-MCI,Delta,$777,Main Cabin,MCI,ATL
66625a1a41e0a51a5b39e3d0,1,2024-06-07,2024-06-10,7:44 pm,6:14 am,9h 30m,MCI-ATL,Frontier,9:29 am,8:59 pm,12h 30m,ATL-MCI,Frontier,$360,Economy,MCI,ATL
66625a1a41e0a51a5b39e3d1,2,2024-06-07,2024-06-10,10:19 am,1:14 pm,1h 55m,MCI-ATL,Delta,10:05 am,11:08 am,2h 03m,ATL-MCI,Delta,$777,Main Cabin,MCI,ATL
66625a1a41e0a51a5b39e3d2,3,2024-06-07,2024-06-10,10:19 am,1:14 pm,1h 55m,MCI-ATL,Delta,1:07 pm,2:10 pm,2h 03m,ATL-MCI,Delta,$777,Main Cabin,MCI,ATL
66625a1a41e0a51a5b39e3d3,4,2024-06-07,2024-06-10,10:19 am,1:14 pm,1h 55m,MCI-ATL,Delta,8:10 am,9:14 am,2h 04m,ATL-MCI,Delta,$777,Main Cabin,MCI,ATL
66625a1a41e0a51a5b39e3d4,5,2024-06-07,2024-06-10,10:19 am,1:14 pm,1h 55m,MCI-ATL,Delta,4:31 pm,5:36 pm,2h 05m,ATL-MCI,Delta,$777,Main Cabin,MCI,ATL
66625a1a41e0a51a5b39e3d5,6,2024-06-07,2024-06-10,10:19 am,1:14 pm,1h 55m,MCI-ATL,Delta,7:49 pm,8:55 pm,2h 06m,ATL-MCI,Delta,$777,Main Cabin,MCI,ATL
66625a1a41e0a51a5b39e3d6,7,2024-06-07,2024-06-10,7:05 am,10:07 am,2h 02m,MCI-ATL,Delta,2:28 pm,3:30 pm,2h 02m,ATL-MCI,Delta,$777,Main Cabin,MCI,ATL
66625a1a41e0a51a5b39e3d7,8,2024-06-07,2024-06-10,7:05 am,10:07 am,2h 02m,MCI-ATL,Delta,10:05 am,11:08 am,2h 03m,ATL-MCI,Delta,$777,Main Cabin,MCI,ATL
66625a1a41e0a51a5b39e3d8,9,2024-06-07,2024-06-10,7:05 am,10:07 am,2h 02m,MCI-ATL,Delta,1:07 pm,2:10 pm,2h 03m,ATL-MCI,Delta,$777,Main Cabin,MCI,ATL
66625a1a41e0a51a5b39e3d9,10,2024-06-07,2024-06-10,7:05 am,10:07 am,2h 02m,MCI-ATL,Delta,8:10 am,9:14 am,2h 04m,ATL-MCI,Delta,$777,Main Cabin,MCI,ATL
66625a1a41e0a51a5b39e3da,11,2024-06-07,2024-06-10,7:05 am,10:07 am,2h 02m,MCI-ATL,Delta,4:31 pm,5:36 pm,2h 05m,ATL-MCI,Delta,$777,Main Cabin,MCI,ATL
66625a1a41e0a51a5b39e3db,12,2024-06-07,2024-06-10,7:05 am,10:07 am,2h 02m,MCI-ATL,Delta,7:49 pm,8:55 pm,2h 06m,ATL-MCI,Delta,$777,Main Cabin,MCI,ATL
66625a1a41e0a51a5b39e3dc,13,2024-06-07,2024-06-10,4:38 pm,7:43 pm,2h 05m,MCI-ATL,Delta,2:28 pm,3:30 pm,2h 02m,ATL-MCI,Delta,$777,Main Cabin,MCI,ATL
66625a1a41e0a51a5b39e3dd,14,2024-06-07,2024-06-10,4:38 pm,7:43 pm,2h 05m,MCI-ATL,Delta,10:05 am,11:08 am,2h 03m,ATL-MCI,Delta,$777,Main Cabin,MCI,ATL
66625a1a41e0a51a5b39e3de,15,2024-06-07,2024-06-10,4:38 pm,7:43 pm,2h 05m,MCI-ATL,Delta,1:07 pm,2:10 pm,2h 03m,ATL-MCI,Delta,$777,Main Cabin,MCI,ATL
66625a1a41e0a51a5b39e3df,0,2024-06-07,2024-06-10,4:23 pm,6:04 pm,1h 41m,MCI-DFW,American Airlines,3:31 pm,5:04 pm,1h 33m,DFW-MCI,American Airlines,$493,Main Cabin,MCI,DFW
66625a1a41e0a51a5b39e3e0,1,2024-06-07,2024-06-10,7:44 pm,2:49 pm,19h 05m,MCI-DFW,Frontier,10:56 pm,8:15 am,9h 19m,DFW-MCI,Frontier,$263,Economy,MCI,DFW
66625a1a41e0a51a5b39e3e1,2,2024-06-07,2024-06-10,4:23 pm,6:04 pm,1h 41m,MCI-DFW,American Airlines,7:45 pm,9:18 pm,1h 33m,DFW-MCI,American Airlines,$493,Main Cabin,MCI,DFW
66625a1a41e0a51a5b39e3e2,3,2024-06-07,2024-06-10,4:23 pm,6:04 pm,1h 41m,MCI-DFW,American Airlines,5:27 pm,7:00 pm,1h 33m,DFW-MCI,American Airlines,$493,Main Cabin,MCI,DFW
66625a1a41e0a51a5b39e3e3,4,2024-06-07,2024-06-10,4:23 pm,6:04 pm,1h 41m,MCI-DFW,American Airlines,9:20 am,10:53 am,1h 33m,DFW-MCI,American Airlines,$493,Main Cabin,MCI,DFW
